Tue Apr 28 21:08:28 +0000 2020, --> ,RTs: 22, --> ,Insanity: Wash. State Came One Vote Away From Releasing Green River Serial Killer So He Wouldn't Get Wuhan Virus https://t.co/g70e8XKjTn #NewsandPolitics via @pjmedia_com @ToddEHerman last couple of paragraphs. 
Tue Apr 28 21:08:27 +0000 2020, --> ,RTs: 26, --> ,The media is so anxious to report people dying from Wuhan Virus. They're so anxious that they leaped at the chance to report this poor boy had died . . even though the kid is STILL alive. Watch this embarrassment from ABC https://t.co/cwYJn9CNED 
Tue Apr 28 21:08:05 +0000 2020, --> ,RTs: 0, --> ,Give me one of those alien aircraft in Area 51. I will take it and blow up the Wuhan China LAB that created this virus and all of those communist China leaders in their bunkers hiding from the virus and possible nuke attack from us on them. They need to give us the cure. https://t.co/0IV1SqFkWT 
Tue Apr 28 21:08:02 +0000 2020, --> ,RTs: 0, --> ,@vaneboba20 @Education4Libss @BehindBlueWall1 The vast majority of Wuhan Virus Deaths in the U.S. are due to grossly incompetent Democrat leadership. https://t.co/NWuwAThYwb 
Tue Apr 28 21:07:59 +0000 2020, --> ,RTs: 0, --> ,@EuroMasochismo 4. A quel punto il virus sembra sconfitto. No tracce in Cina in Corea e Giappone pochi casi subito stroncato. Però porca miseria ci eravamo scordati gli scambi Wuhan-Lodi che sono evidentemente molto maggiori di quelli con Pechino e Shanghai o Londra o qualsiasi altra città. 
Tue Apr 28 19:59:50 +0000 2020, --> ,RTs: 0, --> ,Report: FIVE Global Intelligence Agencies Investigating Wuhan Bat Scientist Over Virus Lab Leak - https://t.co/P5LpI4iUWK   #WuhanVirus #WuhanLab #WuhanFlu #WuhanLab  #BoycottChina 
Tue Apr 28 21:07:47 +0000 2020, --> ,RTs: 1, --> ,Wuhan virus problems might have added to Dr. Breen's suicide in NY. This is a sad day . Was she blamed for spread? Why????? Authorities must come to conclusion. 
Tue Apr 28 21:07:45 +0000 2020, --> ,RTs: 0, --> ,#JessieWatersGive @ClayTravis a follow.  Guy is spot on regarding the Wuhan Virus. 
Tue Apr 28 20:14:11 +0000 2020, --> ,RTs: 0, --> ,@Olivianuzzi Since all you do is practice Yellow Journalism it would be fair to ask Xi Jinping why he did not do anything to stop the ChiComm virus from escaping Wuhan.  Now that would be journalism! 
Tue Apr 28 21:07:40 +0000 2020, --> ,RTs: 6, --> ,Carrie Lam categorically denies that her refusal to close Hong Kong's borders led to Hong Kong acting as a transit point from with Wuhan virus spread to nearly the entire world in response to a journalist's question this morning. 
Tue Apr 28 21:07:21 +0000 2020, --> ,RTs: 3, --> ,The real kicker to all of this is that they didn't even have the virus in the [Wuhan virology] lab anyway. Nobody has the virus from bats that lead to COVID-19. We've not found it yet. We've found close relatives but it's not the same virus. https://t.co/10oMnPOoRj 
Tue Apr 28 20:28:10 +0000 2020, --> ,RTs: 0, --> ,Insanity: Wash. State Came One Vote Away From Releasing Green River Serial Killer So He Wouldn't Get Wuhan Virus https://t.co/38LPeC8W34 
Tue Apr 28 21:07:14 +0000 2020, --> ,RTs: 61, --> ,Put your hand up if you think Australia should start the inquiry into Wuhan Virus immediately and DEPORT China’s ambassador for threatening our country.  Teach the CCP a lesson. 🙋‍♂️🙋‍♂️ https://t.co/7AZ1QvhxYE 
Tue Apr 28 21:07:09 +0000 2020, --> ,RTs: 0, --> ,'Paid for the damn virus that’s killing us': Giuliani rips Fauci over grants to Wuhan laboratory https://t.co/HIaRa9UU9x 
Tue Apr 28 21:07:08 +0000 2020, --> ,RTs: 0, --> ,1st documentary movie on the origin of CCP virus Tracking Down the Origin of the Wuhan Coronavirus https://t.co/yxvehBQB7x 
